alpha	eFWER
0.01	0.011
0.02	0.0212
0.03	0.0316
0.04	0.0406
0.05	0.0508
0.06	0.0582
0.07	0.0672
0.08	0.0778
0.09	0.0872
0.1	0.095
0.11	0.103
0.12	0.1116
0.13	0.119
0.14	0.1268
0.15	0.1356
0.16	0.1436
0.17	0.1516
0.18	0.1616
0.19	0.1682
0.2	0.1756
0.21	0.1832
0.22	0.1918
0.23	0.1978
0.24	0.2044
0.25	0.2116
0.26	0.2174
0.27	0.2248
0.28	0.2332
0.29	0.2408
0.3	0.248
0.31	0.2582
0.32	0.2668
0.33	0.2736
0.34	0.2822
0.35	0.289
0.36	0.2976
0.37	0.3056
0.38	0.3128
0.39	0.3176
0.4	0.324
0.41	0.33
0.42	0.335
0.43	0.342
0.44	0.3496
0.45	0.3542
0.46	0.3606
0.47	0.3676
0.48	0.3732
0.49	0.3798
0.5	0.385
0.51	0.3904
0.52	0.3968
0.53	0.404
0.54	0.409
0.55	0.4152
0.56	0.4218
0.57	0.4258
0.58	0.4318
0.59	0.4386
0.6	0.445
0.61	0.4492
0.62	0.4558
0.63	0.462
0.64	0.4678
0.65	0.4734
0.66	0.4772
0.67	0.4828
0.68	0.4868
0.69	0.4916
0.7	0.495
0.71	0.4992
0.72	0.5032
0.73	0.5084
0.74	0.5122
0.75	0.5178
0.76	0.5228
0.77	0.5292
0.78	0.5326
0.79	0.5362
0.8	0.539
0.81	0.5432
0.82	0.5468
0.83	0.5506
0.84	0.5542
0.85	0.5576
0.86	0.5612
0.87	0.5642
0.88	0.5674
0.89	0.5708
0.9	0.575
0.91	0.5786
0.92	0.5818
0.93	0.5852
0.94	0.588
0.95	0.5924
0.96	0.597
0.97	0.6008
0.98	0.6038
0.99	0.607
0.01	0.016
0.02	0.0296
0.03	0.0416
0.04	0.0512
0.05	0.063
0.06	0.076
0.07	0.085
0.08	0.0942
0.09	0.103
0.1	0.1156
0.11	0.1266
0.12	0.137
0.13	0.1454
0.14	0.1528
0.15	0.1626
0.16	0.1726
0.17	0.1808
0.18	0.1902
0.19	0.1992
0.2	0.207
0.21	0.2174
0.22	0.2252
0.23	0.2336
0.24	0.2406
0.25	0.2464
0.26	0.2544
0.27	0.2648
0.28	0.2732
0.29	0.2786
0.3	0.2862
0.31	0.2946
0.32	0.2984
0.33	0.3078
0.34	0.3146
0.35	0.321
0.36	0.329
0.37	0.3374
0.38	0.3464
0.39	0.351
0.4	0.3574
0.41	0.3642
0.42	0.3716
0.43	0.3778
0.44	0.385
0.45	0.3902
0.46	0.3956
0.47	0.4044
0.48	0.4104
0.49	0.4164
0.5	0.4238
0.51	0.4294
0.52	0.4342
0.53	0.4404
0.54	0.4462
0.55	0.4516
0.56	0.456
0.57	0.4614
0.58	0.4672
0.59	0.4722
0.6	0.4778
0.61	0.4834
0.62	0.4884
0.63	0.4946
0.64	0.5014
0.65	0.5058
0.66	0.5098
0.67	0.5158
0.68	0.5216
0.69	0.5272
0.7	0.5322
0.71	0.5362
0.72	0.5434
0.73	0.5462
0.74	0.552
0.75	0.5568
0.76	0.5606
0.77	0.5644
0.78	0.5702
0.79	0.5744
0.8	0.5796
0.81	0.5844
0.82	0.5866
0.83	0.5914
0.84	0.5948
0.85	0.5978
0.86	0.6004
0.87	0.6046
0.88	0.6066
0.89	0.61
0.9	0.6134
0.91	0.6168
0.92	0.6202
0.93	0.6234
0.94	0.6276
0.95	0.6314
0.96	0.6356
0.97	0.6376
0.98	0.6408
0.99	0.6446
