alpha	eFWER
0.01	0.007
0.02	0.0144
0.03	0.022
0.04	0.0288
0.05	0.037
0.06	0.0448
0.07	0.0502
0.08	0.057
0.09	0.0652
0.1	0.0726
0.11	0.0794
0.12	0.0876
0.13	0.094
0.14	0.1022
0.15	0.1116
0.16	0.1194
0.17	0.126
0.18	0.1338
0.19	0.14
0.2	0.1454
0.21	0.1538
0.22	0.1612
0.23	0.1716
0.24	0.1802
0.25	0.187
0.26	0.1946
0.27	0.199
0.28	0.2054
0.29	0.2132
0.3	0.2196
0.31	0.2256
0.32	0.2314
0.33	0.2386
0.34	0.2454
0.35	0.252
0.36	0.2564
0.37	0.2648
0.38	0.2716
0.39	0.2808
0.4	0.2854
0.41	0.29
0.42	0.2952
0.43	0.3016
0.44	0.3064
0.45	0.312
0.46	0.3188
0.47	0.3238
0.48	0.3282
0.49	0.3326
0.5	0.3382
0.51	0.3438
0.52	0.349
0.53	0.353
0.54	0.3568
0.55	0.3604
0.56	0.3646
0.57	0.371
0.58	0.3776
0.59	0.3844
0.6	0.3888
0.61	0.395
0.62	0.4002
0.63	0.406
0.64	0.4096
0.65	0.4138
0.66	0.418
0.67	0.4228
0.68	0.4272
0.69	0.4338
0.7	0.439
0.71	0.4434
0.72	0.4492
0.73	0.4548
0.74	0.4584
0.75	0.4634
0.76	0.4674
0.77	0.4706
0.78	0.4752
0.79	0.482
0.8	0.4864
0.81	0.4902
0.82	0.4934
0.83	0.499
0.84	0.5038
0.85	0.5084
0.86	0.5128
0.87	0.5172
0.88	0.522
0.89	0.5248
0.9	0.5288
0.91	0.5316
0.92	0.5346
0.93	0.5374
0.94	0.5418
0.95	0.5446
0.96	0.548
0.97	0.5518
0.98	0.5552
0.99	0.5598
0.01	0.0046
0.02	0.0076
0.03	0.0138
0.04	0.0176
0.05	0.0226
0.06	0.0268
0.07	0.0318
0.08	0.0372
0.09	0.0416
0.1	0.0474
0.11	0.0526
0.12	0.059
0.13	0.0644
0.14	0.0682
0.15	0.0724
0.16	0.0776
0.17	0.082
0.18	0.0868
0.19	0.091
0.2	0.098
0.21	0.1042
0.22	0.1092
0.23	0.1144
0.24	0.1194
0.25	0.1252
0.26	0.1316
0.27	0.1368
0.28	0.1424
0.29	0.1472
0.3	0.1534
0.31	0.1598
0.32	0.1674
0.33	0.174
0.34	0.18
0.35	0.1852
0.36	0.191
0.37	0.1948
0.38	0.1996
0.39	0.204
0.4	0.209
0.41	0.214
0.42	0.219
0.43	0.2238
0.44	0.229
0.45	0.2344
0.46	0.2396
0.47	0.2436
0.48	0.2482
0.49	0.256
0.5	0.262
0.51	0.2672
0.52	0.2716
0.53	0.2768
0.54	0.2838
0.55	0.2896
0.56	0.2942
0.57	0.2998
0.58	0.3034
0.59	0.309
0.6	0.3128
0.61	0.3152
0.62	0.32
0.63	0.323
0.64	0.327
0.65	0.3314
0.66	0.3352
0.67	0.3398
0.68	0.3448
0.69	0.3492
0.7	0.3534
0.71	0.3576
0.72	0.3628
0.73	0.3658
0.74	0.37
0.75	0.374
0.76	0.377
0.77	0.3814
0.78	0.385
0.79	0.3886
0.8	0.3926
0.81	0.3958
0.82	0.4012
0.83	0.405
0.84	0.4094
0.85	0.4134
0.86	0.417
0.87	0.4214
0.88	0.4258
0.89	0.4296
0.9	0.4326
0.91	0.4364
0.92	0.4412
0.93	0.4456
0.94	0.4482
0.95	0.4512
0.96	0.4546
0.97	0.458
0.98	0.4616
0.99	0.464
