alpha	eFWER
0.01	0.0218
0.02	0.0366
0.03	0.0524
0.04	0.0644
0.05	0.079
0.06	0.0898
0.07	0.1014
0.08	0.1144
0.09	0.1262
0.1	0.1398
0.11	0.1514
0.12	0.1628
0.13	0.1756
0.14	0.1838
0.15	0.1944
0.16	0.2024
0.17	0.2148
0.18	0.2242
0.19	0.2334
0.2	0.2436
0.21	0.2516
0.22	0.258
0.23	0.2654
0.24	0.2752
0.25	0.2836
0.26	0.2914
0.27	0.301
0.28	0.3116
0.29	0.3186
0.3	0.3238
0.31	0.3312
0.32	0.3382
0.33	0.3432
0.34	0.3494
0.35	0.359
0.36	0.366
0.37	0.3732
0.38	0.3798
0.39	0.3874
0.4	0.394
0.41	0.4004
0.42	0.4062
0.43	0.4118
0.44	0.4182
0.45	0.4262
0.46	0.4344
0.47	0.4382
0.48	0.4446
0.49	0.4522
0.5	0.4582
0.51	0.4638
0.52	0.4696
0.53	0.476
0.54	0.4844
0.55	0.489
0.56	0.495
0.57	0.4994
0.58	0.5054
0.59	0.5108
0.6	0.5162
0.61	0.5208
0.62	0.5242
0.63	0.5306
0.64	0.5358
0.65	0.5412
0.66	0.5464
0.67	0.553
0.68	0.5578
0.69	0.565
0.7	0.5704
0.71	0.5738
0.72	0.5772
0.73	0.5822
0.74	0.587
0.75	0.593
0.76	0.5998
0.77	0.6038
0.78	0.6096
0.79	0.6154
0.8	0.6202
0.81	0.6236
0.82	0.6286
0.83	0.632
0.84	0.637
0.85	0.6418
0.86	0.6466
0.87	0.6498
0.88	0.6546
0.89	0.657
0.9	0.66
0.91	0.6626
0.92	0.666
0.93	0.6684
0.94	0.6724
0.95	0.6774
0.96	0.681
0.97	0.6824
0.98	0.6862
0.99	0.6904
0.01	0.0138
0.02	0.0234
0.03	0.0322
0.04	0.0396
0.05	0.0512
0.06	0.0582
0.07	0.064
0.08	0.0726
0.09	0.0806
0.1	0.0904
0.11	0.0986
0.12	0.1052
0.13	0.1122
0.14	0.1186
0.15	0.1264
0.16	0.1356
0.17	0.1428
0.18	0.1496
0.19	0.156
0.2	0.1636
0.21	0.1714
0.22	0.1798
0.23	0.1862
0.24	0.1926
0.25	0.1988
0.26	0.2064
0.27	0.212
0.28	0.2196
0.29	0.226
0.3	0.2312
0.31	0.2372
0.32	0.2432
0.33	0.2504
0.34	0.2572
0.35	0.2622
0.36	0.269
0.37	0.2742
0.38	0.2802
0.39	0.287
0.4	0.2932
0.41	0.2992
0.42	0.3038
0.43	0.3086
0.44	0.3142
0.45	0.319
0.46	0.3236
0.47	0.3292
0.48	0.3326
0.49	0.3372
0.5	0.3418
0.51	0.347
0.52	0.3518
0.53	0.3568
0.54	0.3614
0.55	0.3662
0.56	0.371
0.57	0.3752
0.58	0.3822
0.59	0.3882
0.6	0.3922
0.61	0.3972
0.62	0.403
0.63	0.4066
0.64	0.4114
0.65	0.4148
0.66	0.4204
0.67	0.4238
0.68	0.428
0.69	0.4322
0.7	0.4364
0.71	0.44
0.72	0.445
0.73	0.4494
0.74	0.4542
0.75	0.4576
0.76	0.462
0.77	0.4648
0.78	0.4688
0.79	0.4724
0.8	0.476
0.81	0.4796
0.82	0.484
0.83	0.4882
0.84	0.4928
0.85	0.4958
0.86	0.4988
0.87	0.5028
0.88	0.508
0.89	0.5118
0.9	0.5154
0.91	0.517
0.92	0.5206
0.93	0.5236
0.94	0.5274
0.95	0.5318
0.96	0.5356
0.97	0.5388
0.98	0.541
0.99	0.5456
